millis,stamp,datetime,motion
44999,1455498061, 2140/163/0 1:1:1, Inactive
46000,1455498061, 2140/163/0 1:1:1, Inactive
46999,1455498061, 2140/163/0 1:1:1, Inactive
48000,1455498061, 2140/163/0 1:1:1, Active
48999,1455498061, 2140/163/0 1:1:1, Inactive
49998,1455498061, 2140/163/0 1:1:1, Inactive
50999,1455498061, 2140/163/0 1:1:1, Inactive
51999,1455498061, 2140/163/0 1:1:1, Inactive
53000,1455498061, 2140/163/0 1:1:1, Active
53999,1455498061, 2140/163/0 1:1:1, Active
55000,1455498061, 2140/163/0 1:1:1, Inactive
55999,1455498061, 2140/163/0 1:1:1, Inactive
56998,1455498061, 2140/163/0 1:1:1, Inactive
57999,1455498061, 2140/163/0 1:1:1, Active
58999,1455498061, 2140/163/0 1:1:1, Active
59999,1455498061, 2140/163/0 1:1:1, Inactive
60999,1455498061, 2140/163/0 1:1:1, Inactive
62000,1455498061, 2140/163/0 1:1:1, Inactive
62999,1455498061, 2140/163/0 1:1:1, Inactive
64000,1455498061, 2140/163/0 1:1:1, Active
64999,1455498061, 2140/163/0 1:1:1, Inactive
65999,1455498061, 2140/163/0 1:1:1, Inactive
66999,1455498061, 2140/163/0 1:1:1, Inactive
67999,1455498061, 2140/163/0 1:1:1, Inactive
68999,1455498061, 2140/163/0 1:1:1, Active
69999,1455498061, 2140/163/0 1:1:1, Active
71000,1455498061, 2140/163/0 1:1:1, Inactive
71999,1455498061, 2140/163/0 1:1:1, Inactive
72999,1455498061, 2140/163/0 1:1:1, Inactive
73999,1455498061, 2140/163/0 1:1:1, Inactive
74998,1455498061, 2140/163/0 1:1:1, Inactive
75999,1455498061, 2140/163/0 1:1:1, Active
76999,1455498061, 2140/163/0 1:1:1, Active
77999,1455498061, 2140/163/0 1:1:1, Inactive
78999,1455498061, 2140/163/0 1:1:1, Inactive
80000,1455498061, 2140/163/0 1:1:1, Inactive
80999,1455498061, 2140/163/0 1:1:1, Inactive
81999,1455498061, 2140/163/0 1:1:1, Active
82999,1455498061, 2140/163/0 1:1:1, Inactive
83999,1455498061, 2140/163/0 1:1:1, Inactive
84999,1455498061, 2140/163/0 1:1:1, Inactive
85999,1455498061, 2140/163/0 1:1:1, Inactive
87000,1455498061, 2140/163/0 1:1:1, Inactive
87999,1455498061, 2140/163/0 1:1:1, Inactive
88999,1455498061, 2140/163/0 1:1:1, Inactive
89998,1455498061, 2140/163/0 1:1:1, Inactive
90999,1455498061, 2140/163/0 1:1:1, Active
91999,1455498061, 2140/163/0 1:1:1, Inactive
92999,1455498061, 2140/163/0 1:1:1, Inactive
93999,1455498061, 2140/163/0 1:1:1, Inactive
94999,1455498061, 2140/163/0 1:1:1, Inactive
95998,1455498061, 2140/163/0 1:1:1, Inactive
96999,1455498061, 2140/163/0 1:1:1, Active
97999,1455498061, 2140/163/0 1:1:1, Inactive
98999,1455498061, 2140/163/0 1:1:1, Inactive
99999,1455498061, 2140/163/0 1:1:1, Inactive
101000,1455498061, 2140/163/0 1:1:1, Inactive
101999,1455498061, 2140/163/0 1:1:1, Inactive
103000,1455498061, 2140/163/0 1:1:1, Active
103999,1455498061, 2140/163/0 1:1:1, Inactive
104999,1455498061, 2140/163/0 1:1:1, Inactive
105999,1455498061, 2140/163/0 1:1:1, Inactive
106999,1455498061, 2140/163/0 1:1:1, Inactive
108000,1455498061, 2140/163/0 1:1:1, Inactive
108999,1455498061, 2140/163/0 1:1:1, Active
109999,1455498061, 2140/163/0 1:1:1, Inactive
111000,1455498061, 2140/163/0 1:1:1, Inactive
112000,1455498061, 2140/163/0 1:1:1, Inactive
112999,1455498061, 2140/163/0 1:1:1, Inactive
113999,1455498061, 2140/163/0 1:1:1, Inactive
